iter	MultiClass
0	1.68748826
1	1.57618128
2	1.505194325
3	1.416528346
4	1.349887332
5	1.285346647
6	1.245088162
7	1.19696078
8	1.142445003
9	1.098892154
10	1.063330733
11	1.027825901
12	1.000264175
13	0.9732238629
14	0.9413408728
15	0.9171781999
16	0.8962435011
17	0.8697571961
18	0.8492515291
19	0.8336283109
20	0.8132060956
21	0.7953318357
22	0.7761240949
23	0.7599388433
24	0.7447471172
25	0.7277259009
26	0.7130452221
27	0.6968096072
28	0.6871612731
29	0.6736310374
30	0.6607751965
31	0.652200751
32	0.6413014646
33	0.6325159505
34	0.6222043872
35	0.6131108058
36	0.6034718666
37	0.5937722095
38	0.5862806074
39	0.5769232207
40	0.5681993253
41	0.5598071264
42	0.5517924718
43	0.5417681833
44	0.5337064794
45	0.526103289
46	0.5201262197
47	0.5117243393
48	0.5055207166
49	0.5018765097
50	0.4966431341
51	0.4876974178
52	0.4810445129
53	0.4733805611
54	0.4688267185
55	0.4632966889
56	0.4594940864
57	0.4544419082
58	0.4493761262
59	0.4440824201
60	0.4393093532
61	0.4347362368
62	0.430389127
63	0.4240908919
64	0.4215853785
65	0.417324805
66	0.4117517828
67	0.4083862482
68	0.4041215578
69	0.4002077275
70	0.3958447313
71	0.3920512327
72	0.3872029083
73	0.3846024091
74	0.3806950338
75	0.3770491596
76	0.3741033983
77	0.3701899686
78	0.3663508716
79	0.3629951749
80	0.3597117618
81	0.3551525751
82	0.3512290506
83	0.3473367986
84	0.3445256073
85	0.3414625158
86	0.338084642
87	0.3352163648
88	0.3318209595
89	0.3294174993
90	0.3269990479
91	0.3243355477
92	0.321578724
93	0.3192411128
94	0.317320952
95	0.3151100558
96	0.3125828718
97	0.3102565521
98	0.3075094871
99	0.3050774974
100	0.3019090746
101	0.299649785
102	0.2975174955
103	0.2945156796
104	0.2920129098
105	0.2895575195
106	0.2866491051
107	0.2847088651
108	0.2821774465
109	0.2796291248
110	0.2777373904
111	0.2762648143
112	0.2742475952
113	0.2730682559
114	0.2716255364
115	0.270270975
116	0.2687231078
117	0.2661452341
118	0.2643401178
119	0.2631185976
120	0.2617794088
121	0.2601316844
122	0.2578916792
123	0.2559777668
124	0.254200225
125	0.252777379
126	0.2509440849
127	0.2497826355
128	0.2482093194
129	0.2465484666
130	0.2449397939
131	0.2432305793
132	0.2410242325
133	0.2394616323
134	0.2373975547
135	0.2357317884
136	0.2344680296
137	0.2334639917
138	0.2321184871
139	0.2307163602
140	0.2291492351
141	0.2275814136
142	0.2262971101
143	0.225443015
144	0.2243421028
145	0.223350168
146	0.2216674184
147	0.2199121177
148	0.2183397609
149	0.2174824065
150	0.2161341706
151	0.215155005
152	0.2139339512
153	0.2127213789
154	0.2117482897
155	0.2106466882
156	0.209297533
157	0.2084056054
158	0.2066970841
159	0.2061657911
160	0.2048710219
161	0.2038499232
162	0.2022087064
163	0.2007452138
164	0.1998636642
165	0.1988047362
166	0.1978346921
167	0.1965279105
168	0.1954661235
169	0.194613192
170	0.1927424929
