iter	Passed	Remaining
0	1	1759
1	3	1777
2	5	1703
3	6	1688
4	8	1661
5	9	1651
6	11	1671
7	13	1692
8	15	1672
9	16	1665
10	18	1652
11	20	1664
12	21	1650
13	23	1643
14	24	1633
15	26	1626
16	28	1628
17	29	1630
18	31	1628
19	33	1627
20	34	1618
21	36	1622
22	38	1622
23	39	1619
24	41	1620
25	43	1628
26	45	1627
27	46	1625
28	48	1620
29	50	1617
30	51	1612
31	53	1613
32	54	1608
33	56	1606
34	58	1601
35	59	1598
36	61	1597
37	62	1593
38	64	1590
39	66	1585
40	67	1583
41	69	1584
42	71	1581
43	72	1579
44	74	1575
45	75	1575
46	77	1575
47	79	1574
48	81	1576
49	82	1574
50	84	1571
51	86	1570
52	87	1568
53	89	1565
54	90	1561
55	92	1561
56	94	1561
57	96	1560
58	97	1558
59	99	1558
60	101	1555
61	102	1554
62	104	1551
63	105	1549
64	107	1547
65	109	1544
66	110	1544
67	112	1543
68	114	1541
69	115	1540
70	117	1538
71	119	1535
72	120	1535
73	122	1533
74	124	1530
75	125	1528
76	127	1527
77	128	1524
78	130	1522
79	132	1519
80	133	1518
81	135	1519
82	137	1517
83	138	1515
84	140	1513
85	142	1513
86	144	1512
87	145	1508
88	147	1509
89	149	1512
90	151	1509
91	152	1508
92	154	1506
93	156	1504
94	157	1502
95	159	1500
96	161	1498
97	162	1498
98	164	1496
99	165	1493
100	167	1491
101	169	1491
102	171	1489
103	172	1488
104	174	1487
105	176	1486
106	178	1486
107	179	1484
108	181	1482
109	183	1481
110	184	1478
111	186	1475
112	187	1474
113	189	1472
114	191	1470
115	192	1468
116	194	1467
117	196	1465
118	197	1462
119	199	1461
120	200	1459
121	202	1458
122	204	1456
123	206	1456
124	208	1459
125	210	1457
126	211	1456
127	213	1456
128	215	1454
129	217	1455
130	220	1459
131	222	1460
132	224	1460
133	225	1458
134	227	1459
135	229	1458
136	231	1458
137	233	1457
138	235	1456
139	237	1457
140	239	1460
141	241	1458
142	242	1455
143	244	1454
144	246	1452
145	247	1450
