nomor_registrasi,jenis_kelamin,status_perkawinan,alamat_kota,jenis_pinjaman,tujuan_penggunaan,jenis_jaminan,sandi_pengikatan,Restruktur,jenis_pekerjaan,jenis_usaha,Lama Menikah,Riwayat Slik,Penilaian Rekening Koran,kualitas_kredit,gaji(Penghasilan),pendidikan,usia,tenor,jumlah_Pengajuan,jumlah_tanggungan,plafon,Nilai Pasar Agunan,LTV,Collateral Coverage,DBR
26,0,0,17,13,1,5,2,1,4,0,2,3,2,5,1,1,26,60,1,1,90000000.0,369300000.0,0.2437043054427295,4.1033333333333335,65.02
38,0,4,17,13,1,5,2,0,34,0,1,0,2,5,1,1,42,36,1,2,40000000.0,308000000.0,0.12987012987012986,7.7,44.56
408,0,4,21,13,1,5,2,1,186,0,1,1,2,5,1,1,44,60,1,5,30000000.0,359568000.0,0.08343345347750634,11.9856,28.2
5,0,4,15,13,1,3,3,0,200,0,0,0,2,5,1,1,36,36,1,2,15000000.0,0.01,1500000000.0,6.666666666666666e-10,37.36
35,0,4,1,13,1,5,2,1,70,0,1,1,2,5,1,1,45,60,1,3,110000000.0,241000000.0,0.45643153526970953,2.190909090909091,59.51
2,1,0,17,13,1,3,3,0,53,0,0,1,2,5,1,3,35,36,1,0,45000000.0,0.01,4500000000.0,2.2222222222222224e-10,79.77
1,1,4,17,13,1,3,3,1,143,6,1,1,2,5,1,4,56,36,1,0,40000000.0,0.01,4000000000.0,2.5e-10,84.17
11,1,4,17,13,1,5,2,0,0,0,1,0,2,5,1,2,43,36,1,0,95000000.0,491400000.0,0.19332519332519332,5.172631578947368,58.78
58,0,4,17,13,1,5,2,0,189,0,0,1,2,5,1,1,23,36,1,0,40000000.0,151464000.0,0.26408915649923415,3.7866,32.82
68,1,4,17,13,1,5,5,0,119,0,1,2,2,5,1,1,44,36,1,2,25000000.0,100000000.0,0.25,4.0,27.49
71,0,4,15,13,2,5,2,0,12,0,0,2,2,1,1,1,52,42,1,3,200000000.0,453500000.0,0.4410143329658214,2.2675,66.94
72,0,4,1,13,1,5,2,0,67,0,6,2,2,3,1,3,42,60,1,5,100000000.0,756000000.0,0.13227513227513227,7.56,12.51
73,1,4,21,13,1,5,2,0,167,0,0,5,2,1,1,2,32,36,1,1,50000000.0,220070000.0,0.22720043622483754,4.4014,54.0
416,1,4,17,13,1,5,2,0,194,0,1,1,2,1,1,1,56,48,1,2,88000000.0,414141000.0,0.21248801736606615,4.706147727272727,51.6
32,0,0,1,13,1,5,5,0,194,0,1,0,2,5,1,2,36,36,1,3,20000000.0,357300000.0,0.055975370836831795,17.865,113.45
78,1,4,1,13,1,5,2,0,58,0,1,5,2,1,1,1,28,180,1,0,200000000.0,327600000.0,0.6105006105006106,1.638,30.0
422,0,4,20,13,1,5,2,0,82,0,1,2,2,1,1,3,41,60,1,3,250000000.0,1578000000.0,0.15842839036755388,6.312,28.71
86,1,4,17,13,1,5,5,0,206,0,6,0,2,1,4,1,51,60,1,2,40000000.0,55293000.0,0.7234188776156114,1.382325,27.78
82,0,4,17,13,1,5,2,0,109,0,1,1,2,1,2,2,44,60,1,2,140000000.0,425000000.0,0.32941176470588235,3.0357142857142856,14.34
412,0,4,17,13,1,5,2,0,68,0,0,4,2,1,1,1,39,48,1,3,42541312.0,144409000.0,0.29458906300853827,3.3945591522894265,35.67
75,1,4,25,15,1,1,3,0,123,3,1,2,2,1,1,3,30,24,1,0,33000000.0,500000000.0,0.066,15.151515151515152,58.08
87,0,4,17,13,1,5,2,0,185,0,0,3,9,1,1,1,35,48,1,2,60000000.0,146409220.0,0.40981025648521313,2.4401536666666668,22.84
89,1,4,17,13,1,6,2,0,114,0,6,1,6,1,2,1,45,36,1,2,50000000.0,236875000.0,0.21108179419525067,4.7375,21.8
90,0,4,21,15,1,7,2,0,124,4,1,1,2,1,4,5,50,12,1,4,1000000000.0,41982100000.0,0.023819675528379953,41.9821,10.47
91,0,4,17,13,1,7,5,0,121,0,6,2,9,1,2,1,36,36,1,3,35000000.0,162975000.0,0.21475686454977758,4.656428571428571,28.69
92,0,4,14,13,1,7,2,0,34,0,0,3,8,4,2,1,36,24,1,4,30000000.0,66312000.0,0.4524068041983351,2.2104,35.08
93,0,4,1,13,1,7,2,0,34,0,1,1,4,1,2,1,40,36,1,3,50000000.0,65686000.0,0.761197210973419,1.31372,55.17
95,1,4,1,13,1,5,2,0,120,0,0,4,2,1,1,1,21,36,1,2,50000000.0,436900000.0,0.11444266422522316,8.738,45.95
69,0,4,21,13,1,5,5,0,157,6,1,2,6,1,1,1,63,36,1,4,15000000.0,330800000.0,0.04534461910519952,22.053333333333335,70.36
210,0,4,21,13,1,5,2,0,184,0,1,2,8,1,1,1,43,36,1,2,50000000.0,107555000.0,0.4648784342894333,2.1511,38.2
83,0,4,21,15,1,5,2,1,159,6,1,2,2,4,1,3,71,3,1,3,772000000.0,1392000000.0,0.5545977011494253,1.8031088082901554,42.0
