Nilai Pasar Agunan,DBR,plafon,Collateral Coverage,tenor,usia,jenis_pinjaman,alamat_kota,Penilaian Rekening Koran,tujuan_penggunaan,gaji(Penghasilan),pendidikan,sandi_pengikatan,Riwayat Slik,jenis_usaha,Restruktur,risk_score
369300000.0,65.02,90000000.0,4.1033333333333335,60.0,26.0,13,17,2,1,1,1,2,3,0,1,6
308000000.0,44.56,40000000.0,7.7,36.0,42.0,13,17,2,1,1,1,2,0,0,0,6
359568000.0,28.2,30000000.0,11.9856,60.0,44.0,13,21,2,1,1,1,2,1,0,1,6
0.0099999904632568,37.36,15000000.0,6.66666721826914e-10,36.0,36.0,13,15,2,1,1,1,3,0,0,0,6
241000000.0,59.51,110000000.0,2.190909090909091,60.0,45.0,13,1,2,1,1,1,2,1,0,1,6
0.0099999904632568,79.77,45000000.0,2.222222406089713e-10,36.0,35.0,13,17,2,1,1,3,3,1,0,0,6
0.0099999904632568,84.17,40000000.0,2.5000002068509275e-10,36.0,56.0,13,17,2,1,1,4,3,1,6,1,4
491400000.0,58.78,95000000.0,5.172631578947368,36.0,43.0,13,17,2,1,1,2,2,0,0,0,6
151464000.0,32.82,40000000.0,3.7866,36.0,23.0,13,17,2,1,1,1,2,1,0,0,6
100000000.0,27.49,25000000.00000001,4.0,36.0,44.0,13,17,2,1,1,1,5,2,0,0,6
453500000.0,66.94,200000000.0,2.2675,42.0,52.0,13,15,2,2,1,1,2,2,0,0,1
756000000.0,12.509999999999998,100000000.0,7.56,60.0,42.0,13,1,2,1,1,3,2,2,0,0,3
220070000.0,54.0,50000000.0,4.4014,36.0,32.0,13,21,2,1,1,2,2,5,0,0,2
414141000.0,51.6,88000000.0,4.706147727272727,48.0,56.0,13,17,2,1,1,1,2,1,0,0,2
357300000.0,113.45000000000002,20000000.0,17.865000000000002,36.0,36.0,13,1,2,1,1,2,5,0,0,0,6
327600000.0,30.0,200000000.0,1.6379999999999997,180.0,28.0,13,1,2,1,1,1,2,5,0,0,1
1578000000.0,28.71,250000000.0,6.312,60.0,41.0,13,20,2,1,1,3,2,2,0,0,1
55293000.0,27.78,40000000.0,1.3823249999999998,60.0,51.0,13,17,2,1,4,1,5,0,0,0,1
425000000.0,14.339999999999996,140000000.0,3.0357142857142856,60.0,44.0,13,17,2,1,2,2,2,1,0,0,1
144409000.0,35.67,42541312.0,3.3945591522894265,48.0,39.0,13,17,2,1,1,1,2,4,0,0,2
500000000.0,58.08,33000000.0,15.151515151515152,24.0,30.0,15,25,2,1,1,3,3,2,3,0,2
146409220.0,22.84,60000000.0,2.4401536666666668,48.0,35.0,13,17,9,1,1,1,2,3,0,0,1
236875000.0,21.8,50000000.0,4.7375,36.0,45.0,13,17,6,1,2,1,2,1,0,0,1
41982100000.0,10.47,1000000000.0,41.9821,12.0,50.0,15,21,2,1,4,5,2,1,4,0,1
162975000.0,28.69,35000000.0,4.656428571428571,36.0,36.0,13,17,9,1,2,1,5,2,0,0,1
66312000.0,35.08,30000000.0,2.2104,24.0,36.0,13,14,8,1,2,1,2,3,0,0,3
65686000.0,55.17,50000000.0,1.31372,36.0,40.0,13,1,4,1,2,1,2,1,0,0,1
436900000.0,45.95,50000000.0,8.738,36.0,21.0,13,1,2,1,1,1,2,4,0,0,2
330800000.0,70.36,15000000.0,22.05333333333333,36.0,63.0,13,21,6,1,1,1,5,2,6,0,2
107555000.0,38.2,50000000.0,2.1511,36.0,43.0,13,21,8,1,1,1,2,2,0,0,1
1392000000.0,42.0,772000000.0,1.803108808290156,3.0,71.0,15,21,2,1,1,3,2,2,6,1,6
181500000.0,65.67,94000000.0,1.9308510638297876,36.0,24.0,13,21,2,1,2,1,2,2,0,0,4
18500000.0,36.23,7000000.0,2.642857142857143,12.0,52.0,13,21,3,1,1,1,3,2,6,0,2
105000000.0,56.57,50000000.0,2.1,7.0,39.0,13,21,6,1,2,3,1,2,0,0,1
3669000000.0,51.66,1000000000.0,3.669,120.0,57.0,13,14,9,1,2,3,2,2,6,0,3
203850000.0,28.0,35000000.0,5.824285714285714,36.0,51.0,13,21,9,1,1,1,2,4,3,0,1
166234000.0,65.91,35000000.0,4.749542857142857,36.0,46.0,13,17,9,1,1,1,3,2,0,0,1
341944000.0,68.41,100000000.0,3.41944,24.0,45.0,13,17,4,1,1,2,3,2,3,0,2
165000000.0,63.51,66081979.0,2.4968985871322045,47.0,45.0,3,17,0,2,1,1,2,2,6,1,6
60000000.0,14.920000000000002,25000000.00000001,2.4,36.0,33.0,3,1,0,2,1,1,3,4,3,1,6
159550000.0,67.1,60000000.0,2.6591666666666667,6.0,22.0,3,1,2,2,1,1,2,2,3,1,6
170000000.0,65.39,35000000.0,4.857142857142857,36.0,53.0,3,20,0,2,1,1,2,2,3,0,6
192780000.0,63.48,45000000.0,4.284,36.0,45.0,3,1,0,2,1,2,2,2,3,0,2
267500000.0,47.53,90000000.0,2.9722222222222223,36.0,57.0,3,17,0,2,1,0,2,2,3,0,2
792751120.0,72.19,350000000.0,2.2650032,36.0,42.0,3,21,8,2,1,3,2,1,3,0,1
1975000000.0,80.93,835000000.0,2.3652694610778444,48.0,44.0,3,1,8,2,4,3,2,1,3,0,3
3960000000.0,44.75,750000000.0,5.28,12.0,56.0,3,17,9,2,1,3,2,1,3,1,3
691800000.0,55.31,300000000.0,2.306,36.0,38.0,3,10,4,2,2,1,2,3,3,0,4
239000000.0,37.32,30000000.0,7.966666666666667,36.0,46.0,3,17,0,2,1,1,5,2,3,0,2
287600000.0,29.23,150000000.0,1.917333333333333,36.0,38.0,3,6,4,2,2,1,2,4,3,0,4
280000000.0,13.509999999999994,100000000.0,2.8,36.0,40.0,3,21,2,2,2,1,2,2,0,0,1
4900000000.0,75.41,1000000000.0,4.9,60.0,40.0,3,22,4,2,1,3,2,2,3,0,3
750605000.0,35.47,100000000.0,7.50605,60.0,51.0,3,21,3,2,1,1,2,2,4,0,1
2609000000.0,72.27,1000000000.0,2.609,96.0,43.0,3,5,8,2,1,3,2,1,0,0,3
766800000.0,1.3100000000000025,200000000.0,3.834,4.0,51.0,9,17,7,2,1,1,2,1,6,1,1
